Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
2004,Annual,Yuba County,Not Adj,Not Prelim,25200,22800,2400,0.097
2003,Annual,Yuba County,Not Adj,Not Prelim,25200,22500,2700,0.107
2002,Annual,Yuba County,Not Adj,Not Prelim,25000,22600,2400,0.098
2001,Annual,Yuba County,Not Adj,Not Prelim,24800,22700,2100,0.085
2000,Annual,Yuba County,Not Adj,Not Prelim,24300,22400,1900,0.080
1999,Annual,Yuba County,Not Adj,Not Prelim,20500,18100,2400,0.117
1998,Annual,Yuba County,Not Adj,Not Prelim,20700,17900,2800,0.136
1997,Annual,Yuba County,Not Adj,Not Prelim,20900,18100,2800,0.133
1996,Annual,Yuba County,Not Adj,Not Prelim,20900,17900,3000,0.141
1995,Annual,Yuba County,Not Adj,Not Prelim,21000,17800,3100,0.149
1994,Annual,Yuba County,Not Adj,Not Prelim,22000,18500,3500,0.158
1993,Annual,Yuba County,Not Adj,Not Prelim,23000,19000,4000,0.174
1992,Annual,Yuba County,Not Adj,Not Prelim,22400,18500,3900,0.173
1991,Annual,Yuba County,Not Adj,Not Prelim,22600,19500,3100,0.138
1990,Annual,Yuba County,Not Adj,Not Prelim,22100,19800,2400,0.107
2019,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Prelim,1623400,1578300,45100,0.028
2018,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1617900,1569800,48100,0.030
2017,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1607800,1551500,56300,0.035
2016,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1597300,1532700,64500,0.040
2015,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1584300,1513500,70800,0.045
2014,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1569000,1482900,86100,0.055
2013,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1565300,1462300,103100,0.066
2012,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1562100,1439300,122900,0.079
2011,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1546400,1406400,140000,0.091
2010,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1537200,1387400,149700,0.097
2009,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1589300,1451700,137600,0.087
2008,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1615500,1529700,85800,0.053
2007,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1606200,1543700,62500,0.039
2006,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1597800,1543500,54300,0.034
2005,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1585900,1526600,59300,0.037
2004,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1569100,1502700,66400,0.042
2003,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1545800,1472500,73300,0.047
2002,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1524800,1449500,75300,0.049
2001,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1511900,1452100,59800,0.040
2000,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1482300,1430100,52200,0.035
1999,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1459900,1420900,39000,0.027
1998,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1425500,1384200,41200,0.029
1997,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1374100,1328700,45400,0.033
1996,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1335200,1279600,55600,0.042
1995,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1319700,1253000,66700,0.051
1994,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1333200,1257100,76100,0.057
1993,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1327900,1237800,90100,0.068
1992,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1331300,1242900,88400,0.066
1991,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1318900,1249800,69100,0.052
1990,Annual,Anaheim-Santa Ana-Irvine MD,Not Adj,Not Prelim,1352900,1305700,47300,0.035
2019,Annual,Bakersfield MSA,Not Adj,Prelim,391000,360800,30200,0.077
2018,Annual,Bakersfield MSA,Not Adj,Not Prelim,386200,354900,31300,0.081
2017,Annual,Bakersfield MSA,Not Adj,Not Prelim,384400,349000,35400,0.092
2016,Annual,Bakersfield MSA,Not Adj,Not Prelim,388000,347700,40300,0.104
2015,Annual,Bakersfield MSA,Not Adj,Not Prelim,390000,350100,39800,0.102
2014,Annual,Bakersfield MSA,Not Adj,Not Prelim,392500,351700,40800,0.104
2013,Annual,Bakersfield MSA,Not Adj,Not Prelim,393400,347200,46200,0.117
2012,Annual,Bakersfield MSA,Not Adj,Not Prelim,391900,340400,51500,0.131
2011,Annual,Bakersfield MSA,Not Adj,Not Prelim,382400,325700,56700,0.148
2010,Annual,Bakersfield MSA,Not Adj,Not Prelim,371500,313400,58200,0.157
2009,Annual,Bakersfield MSA,Not Adj,Not Prelim,362700,311700,51000,0.141
2008,Annual,Bakersfield MSA,Not Adj,Not Prelim,359100,323800,35300,0.098
2007,Annual,Bakersfield MSA,Not Adj,Not Prelim,345200,317000,28200,0.082
2006,Annual,Bakersfield MSA,Not Adj,Not Prelim,336100,310700,25400,0.075
2005,Annual,Bakersfield MSA,Not Adj,Not Prelim,326700,299400,27300,0.084
2004,Annual,Bakersfield MSA,Not Adj,Not Prelim,314400,283400,31000,0.099
2003,Annual,Bakersfield MSA,Not Adj,Not Prelim,311300,279400,31900,0.103
2002,Annual,Bakersfield MSA,Not Adj,Not Prelim,305300,275600,29700,0.097
2001,Annual,Bakersfield MSA,Not Adj,Not Prelim,297700,272200,25500,0.086
2000,Annual,Bakersfield MSA,Not Adj,Not Prelim,293900,269600,24300,0.083
1999,Annual,Bakersfield MSA,Not Adj,Not Prelim,278600,246700,31900,0.114
1998,Annual,Bakersfield MSA,Not Adj,Not Prelim,278500,244700,33800,0.121
1997,Annual,Bakersfield MSA,Not Adj,Not Prelim,278100,243600,34500,0.124
1996,Annual,Bakersfield MSA,Not Adj,Not Prelim,277300,241500,35800,0.129
1995,Annual,Bakersfield MSA,Not Adj,Not Prelim,270700,233400,37300,0.138
1994,Annual,Bakersfield MSA,Not Adj,Not Prelim,265400,225500,40000,0.151
1993,Annual,Bakersfield MSA,Not Adj,Not Prelim,273400,230400,43000,0.157
1992,Annual,Bakersfield MSA,Not Adj,Not Prelim,272900,230200,42700,0.156
1991,Annual,Bakersfield MSA,Not Adj,Not Prelim,264600,232500,32100,0.121
1990,Annual,Bakersfield MSA,Not Adj,Not Prelim,256800,228800,28000,0.109
2019,Annual,Chico MSA,Not Adj,Prelim,99200,94200,5100,0.051
2018,Annual,Chico MSA,Not Adj,Not Prelim,101900,96700,5200,0.051
2017,Annual,Chico MSA,Not Adj,Not Prelim,102100,96200,5900,0.058
2016,Annual,Chico MSA,Not Adj,Not Prelim,101600,94900,6700,0.066
2015,Annual,Chico MSA,Not Adj,Not Prelim,101000,93800,7300,0.072
2014,Annual,Chico MSA,Not Adj,Not Prelim,101200,92500,8800,0.086
2013,Annual,Chico MSA,Not Adj,Not Prelim,101700,91300,10500,0.103
2012,Annual,Chico MSA,Not Adj,Not Prelim,101000,88700,12300,0.122
2011,Annual,Chico MSA,Not Adj,Not Prelim,100600,86900,13800,0.137
2010,Annual,Chico MSA,Not Adj,Not Prelim,102600,88300,14200,0.139
2009,Annual,Chico MSA,Not Adj,Not Prelim,103700,91000,12700,0.123
2008,Annual,Chico MSA,Not Adj,Not Prelim,102800,94100,8700,0.085
2007,Annual,Chico MSA,Not Adj,Not Prelim,101200,94500,6700,0.067
2006,Annual,Chico MSA,Not Adj,Not Prelim,99800,93600,6200,0.062
2005,Annual,Chico MSA,Not Adj,Not Prelim,98300,91700,6600,0.067
2004,Annual,Chico MSA,Not Adj,Not Prelim,97400,90300,7200,0.074
2003,Annual,Chico MSA,Not Adj,Not Prelim,98300,90900,7400,0.075
2002,Annual,Chico MSA,Not Adj,Not Prelim,97100,90000,7100,0.073
2001,Annual,Chico MSA,Not Adj,Not Prelim,95100,88900,6300,0.066
2000,Annual,Chico MSA,Not Adj,Not Prelim,93200,87400,5800,0.062
1999,Annual,Chico MSA,Not Adj,Not Prelim,85500,79700,5800,0.068
1998,Annual,Chico MSA,Not Adj,Not Prelim,85000,77900,7100,0.083
1997,Annual,Chico MSA,Not Adj,Not Prelim,83900,76600,7300,0.087
1996,Annual,Chico MSA,Not Adj,Not Prelim,82700,75200,7500,0.091
1995,Annual,Chico MSA,Not Adj,Not Prelim,82200,74000,8200,0.099
1994,Annual,Chico MSA,Not Adj,Not Prelim,82800,74300,8500,0.103
1993,Annual,Chico MSA,Not Adj,Not Prelim,82500,72700,9800,0.119
1992,Annual,Chico MSA,Not Adj,Not Prelim,82000,72300,9700,0.118
1991,Annual,Chico MSA,Not Adj,Not Prelim,79300,71600,7700,0.097
1990,Annual,Chico MSA,Not Adj,Not Prelim,78800,72200,6600,0.084
2019,Annual,El Centro MSA,Not Adj,Prelim,71300,58300,13000,0.182
2018,Annual,El Centro MSA,Not Adj,Not Prelim,71200,57800,13400,0.189
2017,Annual,El Centro MSA,Not Adj,Not Prelim,72100,58000,14100,0.195
2016,Annual,El Centro MSA,Not Adj,Not Prelim,75100,57000,18100,0.241
2015,Annual,El Centro MSA,Not Adj,Not Prelim,76700,57900,18800,0.245
2014,Annual,El Centro MSA,Not Adj,Not Prelim,78300,59500,18800,0.240
2013,Annual,El Centro MSA,Not Adj,Not Prelim,78300,58700,19600,0.250
2012,Annual,El Centro MSA,Not Adj,Not Prelim,79300,57600,21700,0.274
2011,Annual,El Centro MSA,Not Adj,Not Prelim,79500,56500,22900,0.289
2010,Annual,El Centro MSA,Not Adj,Not Prelim,78700,56000,22700,0.288
2009,Annual,El Centro MSA,Not Adj,Not Prelim,75600,54900,20700,0.274
2008,Annual,El Centro MSA,Not Adj,Not Prelim,72400,56100,16300,0.226
2007,Annual,El Centro MSA,Not Adj,Not Prelim,66000,54100,11900,0.181
2006,Annual,El Centro MSA,Not Adj,Not Prelim,63000,53300,9700,0.154
2005,Annual,El Centro MSA,Not Adj,Not Prelim,60600,50900,9700,0.160
2004,Annual,El Centro MSA,Not Adj,Not Prelim,59400,49300,10100,0.170
2003,Annual,El Centro MSA,Not Adj,Not Prelim,58600,49600,9100,0.155
2002,Annual,El Centro MSA,Not Adj,Not Prelim,57200,48700,8500,0.149
2001,Annual,El Centro MSA,Not Adj,Not Prelim,55500,46700,8800,0.159
2000,Annual,El Centro MSA,Not Adj,Not Prelim,56100,46300,9800,0.175
1999,Annual,El Centro MSA,Not Adj,Not Prelim,55200,42100,13000,0.236
1998,Annual,El Centro MSA,Not Adj,Not Prelim,55900,41300,14500,0.260
1997,Annual,El Centro MSA,Not Adj,Not Prelim,56100,41100,15100,0.268
1996,Annual,El Centro MSA,Not Adj,Not Prelim,57400,40300,17100,0.298
1995,Annual,El Centro MSA,Not Adj,Not Prelim,57900,41000,16900,0.292
1994,Annual,El Centro MSA,Not Adj,Not Prelim,57500,42400,15100,0.263
1993,Annual,El Centro MSA,Not Adj,Not Prelim,55300,39100,16200,0.293
1992,Annual,El Centro MSA,Not Adj,Not Prelim,53900,37300,16500,0.307
1991,Annual,El Centro MSA,Not Adj,Not Prelim,48800,36200,12700,0.259
1990,Annual,El Centro MSA,Not Adj,Not Prelim,47300,35300,12100,0.255
2019,Annual,Fresno MSA,Not Adj,Prelim,450800,418100,32700,0.072
2018,Annual,Fresno MSA,Not Adj,Not Prelim,446700,412800,33900,0.076
2017,Annual,Fresno MSA,Not Adj,Not Prelim,444900,406900,37900,0.085
2016,Annual,Fresno MSA,Not Adj,Not Prelim,444600,402400,42200,0.095
2015,Annual,Fresno MSA,Not Adj,Not Prelim,440100,395300,44800,0.102
2014,Annual,Fresno MSA,Not Adj,Not Prelim,438300,387500,50700,0.116
2013,Annual,Fresno MSA,Not Adj,Not Prelim,437900,379800,58100,0.133
2012,Annual,Fresno MSA,Not Adj,Not Prelim,440000,373500,66600,0.151
2011,Annual,Fresno MSA,Not Adj,Not Prelim,443500,370200,73300,0.165
2010,Annual,Fresno MSA,Not Adj,Not Prelim,439600,366200,73400,0.167
2009,Annual,Fresno MSA,Not Adj,Not Prelim,434000,370300,63700,0.147
2008,Annual,Fresno MSA,Not Adj,Not Prelim,429700,384300,45400,0.106
2007,Annual,Fresno MSA,Not Adj,Not Prelim,418600,382800,35800,0.086
2006,Annual,Fresno MSA,Not Adj,Not Prelim,410400,377500,32900,0.080
2005,Annual,Fresno MSA,Not Adj,Not Prelim,407200,370600,36600,0.090
2004,Annual,Fresno MSA,Not Adj,Not Prelim,404300,362200,42100,0.104
2003,Annual,Fresno MSA,Not Adj,Not Prelim,403700,356600,47100,0.117
2002,Annual,Fresno MSA,Not Adj,Not Prelim,401100,355200,45900,0.114
2001,Annual,Fresno MSA,Not Adj,Not Prelim,389500,347900,41600,0.107
2000,Annual,Fresno MSA,Not Adj,Not Prelim,388700,348200,40500,0.104
1999,Annual,Fresno MSA,Not Adj,Not Prelim,377400,326300,51100,0.135
1998,Annual,Fresno MSA,Not Adj,Not Prelim,375900,322300,53600,0.143
1997,Annual,Fresno MSA,Not Adj,Not Prelim,371900,321700,50200,0.135
1996,Annual,Fresno MSA,Not Adj,Not Prelim,369900,320800,49100,0.133
1995,Annual,Fresno MSA,Not Adj,Not Prelim,369900,318000,51900,0.140
1994,Annual,Fresno MSA,Not Adj,Not Prelim,356200,305400,50700,0.142
1993,Annual,Fresno MSA,Not Adj,Not Prelim,361700,306000,55800,0.154
1992,Annual,Fresno MSA,Not Adj,Not Prelim,352600,298100,54600,0.155
1991,Annual,Fresno MSA,Not Adj,Not Prelim,336800,291800,45000,0.134
1990,Annual,Fresno MSA,Not Adj,Not Prelim,328700,290400,38300,0.116
2019,Annual,Hanford-Corcoran MSA,Not Adj,Prelim,57800,53200,4600,0.079
2018,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,57600,53000,4500,0.079
2017,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,57300,52200,5100,0.089
2016,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,57100,51400,5700,0.100
2015,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,57700,51600,6100,0.105
2014,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,57400,50600,6800,0.119
2013,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,58200,50400,7800,0.134
2012,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,58800,50000,8800,0.149
2011,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,59100,49700,9400,0.159
2010,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,59400,49900,9600,0.161
2009,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,60500,51900,8600,0.142
2008,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,58700,52500,6200,0.106
2007,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,57300,52400,5000,0.087
2006,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,55000,50400,4600,0.084
2005,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,53800,48800,5100,0.094
2004,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,53200,47300,5800,0.110
2003,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,53100,46800,6300,0.119
2002,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,51700,45700,6000,0.116
2001,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,50200,44800,5400,0.107
2000,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,49300,44300,4900,0.100
1999,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,42800,37200,5600,0.132
1998,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,43200,37200,6000,0.139
1997,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,43600,37800,5800,0.132
1996,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,42900,37300,5700,0.132
1995,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,41800,35700,6100,0.145
1994,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,40900,35100,5800,0.142
1993,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,40900,34700,6200,0.152
1992,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,40600,34400,6200,0.152
1991,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,38600,33700,4900,0.126
1990,Annual,Hanford-Corcoran MSA,Not Adj,Not Prelim,37600,33400,4200,0.112
2019,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Prelim,5121600,4894300,227300,0.044
2018,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,5095500,4860300,235200,0.046
2017,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,5084000,4841900,242200,0.048
2016,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,5030500,4765900,264600,0.053
2015,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4980300,4650700,329600,0.066
2014,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4992600,4580300,412300,0.083
2013,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4967200,4482600,484600,0.098
2012,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4915300,4378400,536900,0.109
2011,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4928500,4327900,600500,0.122
2010,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4917400,4302300,615100,0.125
2009,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4914700,4345200,569500,0.116
2008,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4929000,4555100,373900,0.076
2007,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4864200,4614800,249400,0.051
2006,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4807900,4577600,230300,0.048
2005,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4781600,4525200,256400,0.054
2004,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4753500,4445400,308100,0.065
2003,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4739500,4409900,329600,0.070
2002,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4751600,4430900,320600,0.067
2001,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4740500,4471500,269000,0.057
2000,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4677400,4425600,251800,0.054
1999,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4576400,4307000,269400,0.059
1998,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4533300,4235400,297900,0.066
1997,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4420900,4116800,304100,0.069
1996,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4323600,3971500,352100,0.081
1995,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4279500,3935600,343900,0.080
1994,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4290800,3893300,397500,0.093
1993,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4340500,3908800,431600,0.099
1992,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4441200,4002600,438600,0.099
1991,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4471700,4114800,356900,0.080
1990,Annual,Los Angeles-Long Beach-Glendale MD,Not Adj,Not Prelim,4498700,4233100,265600,0.059
2019,Annual,Madera MSA,Not Adj,Prelim,61900,57700,4300,0.069
2018,Annual,Madera MSA,Not Adj,Not Prelim,61300,57000,4400,0.071
2017,Annual,Madera MSA,Not Adj,Not Prelim,61000,56000,4900,0.081
2016,Annual,Madera MSA,Not Adj,Not Prelim,61000,55400,5600,0.092
2015,Annual,Madera MSA,Not Adj,Not Prelim,59800,53500,6300,0.105
2014,Annual,Madera MSA,Not Adj,Not Prelim,61800,54900,6900,0.112
2013,Annual,Madera MSA,Not Adj,Not Prelim,62300,54400,7800,0.126
2012,Annual,Madera MSA,Not Adj,Not Prelim,62500,53500,9000,0.144
2011,Annual,Madera MSA,Not Adj,Not Prelim,62000,52000,10000,0.162
2010,Annual,Madera MSA,Not Adj,Not Prelim,61600,51400,10200,0.166
2009,Annual,Madera MSA,Not Adj,Not Prelim,66500,57600,8900,0.134
2008,Annual,Madera MSA,Not Adj,Not Prelim,65000,58900,6200,0.095
2007,Annual,Madera MSA,Not Adj,Not Prelim,63400,58600,4700,0.075
2006,Annual,Madera MSA,Not Adj,Not Prelim,62700,58400,4400,0.070
2005,Annual,Madera MSA,Not Adj,Not Prelim,61900,57000,4900,0.079
2004,Annual,Madera MSA,Not Adj,Not Prelim,61100,55500,5600,0.091
2003,Annual,Madera MSA,Not Adj,Not Prelim,59000,52900,6100,0.103
2002,Annual,Madera MSA,Not Adj,Not Prelim,55500,49700,5900,0.105
2001,Annual,Madera MSA,Not Adj,Not Prelim,53900,48800,5200,0.096
2000,Annual,Madera MSA,Not Adj,Not Prelim,55000,50200,4800,0.087
1999,Annual,Madera MSA,Not Adj,Not Prelim,52800,46600,6100,0.116
1998,Annual,Madera MSA,Not Adj,Not Prelim,52400,45700,6700,0.128
1997,Annual,Madera MSA,Not Adj,Not Prelim,52000,45000,7000,0.135
1996,Annual,Madera MSA,Not Adj,Not Prelim,52000,44700,7400,0.142
1995,Annual,Madera MSA,Not Adj,Not Prelim,50600,43100,7600,0.149
1994,Annual,Madera MSA,Not Adj,Not Prelim,48400,41000,7400,0.153
1993,Annual,Madera MSA,Not Adj,Not Prelim,47900,40100,7800,0.162
1992,Annual,Madera MSA,Not Adj,Not Prelim,46900,39100,7800,0.166
1991,Annual,Madera MSA,Not Adj,Not Prelim,44200,37600,6600,0.149
1990,Annual,Madera MSA,Not Adj,Not Prelim,41600,35900,5600,0.135
2019,Annual,Merced MSA,Not Adj,Prelim,116200,106900,9400,0.081
2018,Annual,Merced MSA,Not Adj,Not Prelim,115400,105600,9700,0.084
2017,Annual,Merced MSA,Not Adj,Not Prelim,115300,104500,10800,0.094
2016,Annual,Merced MSA,Not Adj,Not Prelim,114300,102200,12100,0.106
2015,Annual,Merced MSA,Not Adj,Not Prelim,114000,101100,12900,0.114
2014,Annual,Merced MSA,Not Adj,Not Prelim,114300,99700,14700,0.128
2013,Annual,Merced MSA,Not Adj,Not Prelim,114600,98000,16600,0.145
2012,Annual,Merced MSA,Not Adj,Not Prelim,115000,96200,18800,0.163
2011,Annual,Merced MSA,Not Adj,Not Prelim,114700,94500,20200,0.176
2010,Annual,Merced MSA,Not Adj,Not Prelim,113600,93200,20400,0.180
2009,Annual,Merced MSA,Not Adj,Not Prelim,105400,87900,17500,0.166
2008,Annual,Merced MSA,Not Adj,Not Prelim,102200,89200,12900,0.126
2007,Annual,Merced MSA,Not Adj,Not Prelim,99800,89800,10000,0.101
2006,Annual,Merced MSA,Not Adj,Not Prelim,97900,88700,9200,0.094
2005,Annual,Merced MSA,Not Adj,Not Prelim,98700,88900,9900,0.100
2004,Annual,Merced MSA,Not Adj,Not Prelim,97600,87000,10600,0.109
2003,Annual,Merced MSA,Not Adj,Not Prelim,96800,85800,11100,0.114
2002,Annual,Merced MSA,Not Adj,Not Prelim,95700,85300,10400,0.109
2001,Annual,Merced MSA,Not Adj,Not Prelim,91700,82400,9300,0.102
2000,Annual,Merced MSA,Not Adj,Not Prelim,90400,81700,8700,0.096
1999,Annual,Merced MSA,Not Adj,Not Prelim,83600,72400,11200,0.134
1998,Annual,Merced MSA,Not Adj,Not Prelim,85100,72200,12900,0.151
1997,Annual,Merced MSA,Not Adj,Not Prelim,83200,70200,13000,0.156
1996,Annual,Merced MSA,Not Adj,Not Prelim,81700,68200,13500,0.166
1995,Annual,Merced MSA,Not Adj,Not Prelim,82700,68600,14100,0.170
1994,Annual,Merced MSA,Not Adj,Not Prelim,83600,70100,13500,0.161
1993,Annual,Merced MSA,Not Adj,Not Prelim,83200,68900,14400,0.173
1992,Annual,Merced MSA,Not Adj,Not Prelim,83000,68600,14400,0.173
1991,Annual,Merced MSA,Not Adj,Not Prelim,77200,65200,12000,0.155
1990,Annual,Merced MSA,Not Adj,Not Prelim,76900,67000,9900,0.129
2019,Annual,Modesto MSA,Not Adj,Prelim,243500,228800,14700,0.060
2018,Annual,Modesto MSA,Not Adj,Not Prelim,243400,227500,15800,0.065
2017,Annual,Modesto MSA,Not Adj,Not Prelim,242200,224100,18100,0.075
2016,Annual,Modesto MSA,Not Adj,Not Prelim,242700,221800,20900,0.086
2015,Annual,Modesto MSA,Not Adj,Not Prelim,240900,218000,22900,0.095
2014,Annual,Modesto MSA,Not Adj,Not Prelim,240600,213700,26900,0.112
2013,Annual,Modesto MSA,Not Adj,Not Prelim,241000,209800,31200,0.129
2012,Annual,Modesto MSA,Not Adj,Not Prelim,242000,205900,36000,0.149
2011,Annual,Modesto MSA,Not Adj,Not Prelim,242300,202400,40000,0.165
2010,Annual,Modesto MSA,Not Adj,Not Prelim,243300,202200,41100,0.169
2009,Annual,Modesto MSA,Not Adj,Not Prelim,234500,198100,36400,0.155
2008,Annual,Modesto MSA,Not Adj,Not Prelim,231700,206000,25700,0.111
2007,Annual,Modesto MSA,Not Adj,Not Prelim,226900,207200,19700,0.087
2006,Annual,Modesto MSA,Not Adj,Not Prelim,224300,206400,17800,0.080
2005,Annual,Modesto MSA,Not Adj,Not Prelim,226600,207600,19000,0.084
2004,Annual,Modesto MSA,Not Adj,Not Prelim,223700,203100,20600,0.092
2003,Annual,Modesto MSA,Not Adj,Not Prelim,221700,200000,21700,0.098
2002,Annual,Modesto MSA,Not Adj,Not Prelim,219100,198000,21000,0.096
2001,Annual,Modesto MSA,Not Adj,Not Prelim,214100,196200,17900,0.084
2000,Annual,Modesto MSA,Not Adj,Not Prelim,208000,191700,16200,0.078
1999,Annual,Modesto MSA,Not Adj,Not Prelim,202000,180600,21400,0.106
1998,Annual,Modesto MSA,Not Adj,Not Prelim,201300,176600,24700,0.123
1997,Annual,Modesto MSA,Not Adj,Not Prelim,197800,171700,26100,0.132
1996,Annual,Modesto MSA,Not Adj,Not Prelim,194600,166800,27900,0.143
1995,Annual,Modesto MSA,Not Adj,Not Prelim,192000,162400,29600,0.154
1994,Annual,Modesto MSA,Not Adj,Not Prelim,193300,162700,30600,0.158
1993,Annual,Modesto MSA,Not Adj,Not Prelim,194200,161600,32500,0.168
1992,Annual,Modesto MSA,Not Adj,Not Prelim,191700,160300,31400,0.164
1991,Annual,Modesto MSA,Not Adj,Not Prelim,183200,156300,26900,0.147
1990,Annual,Modesto MSA,Not Adj,Not Prelim,180400,159100,21400,0.119
2019,Annual,Napa MSA,Not Adj,Prelim,74000,71900,2100,0.028
2018,Annual,Napa MSA,Not Adj,Not Prelim,73900,71700,2200,0.030
